,id,movie_id,movie_title,movie_url,genre
0,1,1,Toy Story,,Adventure|Animation|Children|Comedy|Fantasy
1,2,2,Jumanji,,Adventure|Children|Fantasy
2,3,3,Grumpier Old Men,,Comedy|Romance
3,4,4,Waiting to Exhale,,Comedy|Drama|Romance
4,5,5,Father of the Bride Part II,,Comedy
5,6,6,Heat,,Action|Crime|Thriller
6,7,7,Sabrina,,Comedy|Romance
7,8,8,Tom and Huck,,Adventure|Children
8,9,9,Sudden Death,,Action
9,10,10,GoldenEye,,Action|Adventure|Thriller
10,11,11,The American President,,Comedy|Drama|Romance
11,12,12,Dracula: Dead and Loving It,,Comedy|Horror
12,13,13,Balto,,Adventure|Animation|Children
13,14,14,Nixon,,Drama
14,15,15,Cutthroat Island,,Action|Adventure|Romance
15,16,16,Casino,,Crime|Drama
16,17,17,Sense and Sensibility,,Drama|Romance
17,18,18,Four Rooms,,Comedy
18,19,19,Ace Ventura: When Nature Calls,,Comedy
19,20,20,Money Train,,Action|Comedy|Crime|Drama|Thriller
20,21,21,Get Shorty,,Comedy|Crime|Thriller
21,22,22,Copycat,,Crime|Drama|Horror|Mystery|Thriller
22,23,23,Assassins,,Action|Crime|Thriller
23,24,24,Powder,,Drama|Sci-Fi
24,25,25,Leaving Las Vegas,,Drama|Romance
25,26,26,Othello,,Drama
26,27,27,Now and Then,,Children|Drama
27,28,28,Persuasion,,Drama|Romance
28,29,29,The City of Lost Children,,Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,30,30,Shanghai Triad,,Crime|Drama
30,31,31,Dangerous Minds,,Drama
31,32,32,Twelve Monkeys,,Mystery|Sci-Fi|Thriller
32,33,33,Wings of Courage,,Adventure|Romance|IMAX
33,34,34,Babe,,Children|Drama
34,35,35,Carrington,,Drama|Romance
35,36,36,Dead Man Walking,,Crime|Drama
36,37,39,Clueless,,Comedy|Romance
37,38,40,"Cry, the Beloved Country",,Drama
38,39,41,Richard III,,Drama|War
39,40,42,Dead Presidents,,Action|Crime|Drama
40,41,43,Restoration,,Drama
41,42,44,Mortal Kombat,,Action|Adventure|Fantasy
42,43,45,To Die For,,Comedy|Drama|Thriller
43,44,46,How to Make an American Quilt,,Drama|Romance
44,45,47,Seven,,Mystery|Thriller
45,46,48,Pocahontas,,Animation|Children|Drama|Musical|Romance
46,47,49,When Night Is Falling,,Drama|Romance
47,48,50,The Usual Suspects,,Crime|Mystery|Thriller
48,49,52,Mighty Aphrodite,,Comedy|Drama|Romance
49,50,53,Lamerica,,Adventure|Drama
50,51,54,The Big Green,,Children|Comedy
51,52,55,Georgia,,Drama
52,53,57,Home for the Holidays,,Drama
53,54,58,The Postman,,Comedy|Drama|Romance
54,55,59,The Confessional,,Drama|Mystery
55,56,60,The Indian in the Cupboard,,Adventure|Children|Fantasy
56,57,61,Eye for an Eye,,Drama|Thriller
57,58,62,Mr. Holland's Opus,,Drama
58,59,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,Comedy|Crime
59,60,64,Two if by Sea,,Comedy|Romance
60,61,65,Bio-Dome,,Comedy
